Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Latvia,Price / Latvia,Compare At Price / Latvia,Included / International,Price / International,Compare At Price / International,Included / North Africa,Price / North Africa,Compare At Price / North Africa,Status
harmonyflex-strength-band-kit,Harmony flex Strength Band Kit,"<p>Forget fancy machines and costly memberships - the Harmony Lumaflex™ Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.</p>
<ul>
<li>Three flex bands.</li>
<li>Textured, ergonomic grips.</li>
<li>Adjustable lengths.</li>
<li>Mesh carry bag included.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-UG03,0.0,,deny,manual,22.00,22.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug03-bk-0.jpg?v=1719332925,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug03-bk-0.jpg?v=1719332925,kg,,,true,,,true,,,true,,,active
sprite-foam-roller,Sprite Foam Roller,"<p>It hurts so good to use the Sprite Foam Roller on achy, tired muscles for myofascial massage therapy. Or you can add this fundamental piece to your Pilates and yoga accouterment, or apply towards core stability, strengthening and balance exercise. </p>
<ul>
<li>6'' wide by 12'' long.</li>
<li>Safe for myofascial release.</li>
<li>EPP or PE foam options.</li>
<li>Solid, dense, closed-cell foam.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WG088,0.0,,deny,manual,19.00,19.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/luma-foam-roller.jpg?v=1719332922,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/luma-foam-roller.jpg?v=1719332922,kg,,,true,,,true,,,true,,,active
sprite-foam-yoga-brick,Sprite Foam Yoga Brick,"<p>Our top-selling yoga prop, the 4-inch, high-quality Sprite Foam Yoga Brick is popular among yoga novices and studio professionals alike. An essential yoga accessory, the yoga brick is a critical tool for finding balance and alignment in many common yoga poses. Choose from 5 color options.</p>
<ul>
<li>Standard Large Size: 4"" x 6"" x 9"".
</li>
<li>Beveled edges for ideal contour grip.
</li>
<li>Durable and soft, scratch-proof foam.
</li>
<li>Individually wrapped.
</li>
<li>Ten color choices.
</li>
</ul> ",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WG084,0.0,,deny,manual,5.00,5.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/luma-yoga-brick.jpg?v=1719332920,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/luma-yoga-brick.jpg?v=1719332920,kg,,,true,,,true,,,true,,,active
quest-flex-band,Quest flex Band,"<p>From leg extensions and standing squats to a full range of floor routines, the Quest Strength Band brings your own personal gym with you everywhere you go. Designed to add extra resistance to any training session, this strength band helps you tone and define your muscles. You'll love the extra comfort of its grippy handles and adjustable design.</p>
<ul>
<li>Adjusts from 30"" to 55"".
</li>
<li>Grippy comfort handles.
</li>
<li>Stretchy rubber construction.
</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-UG01,0.0,,deny,manual,19.00,19.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug01-bk-0.jpg?v=1719332918,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug01-bk-0.jpg?v=1719332918,kg,,,true,,,true,,,true,,,active
go-getr-pushup-grips,Go-Get'r Pushup Grips,"<p>The Go-Get'r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.</p>
<ul>
<li>Durable foam grips.</li>
<li>Supportive base.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-UG05,0.0,,deny,manual,19.00,19.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug05-gr-0.jpg?v=1719332916,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug05-gr-0.jpg?v=1719332916,kg,,,true,,,true,,,true,,,active
pursuit-flex-tone-band,Pursuit flex Tone Band,"<p>Save your knees and joints while strengthening arms, legs and core with the Pursuit Lumaflex™ Tone Band. This ultra-durable training tool lets you complete a full-body workout free of bulky machines or free weights.</p>
<ul>
<li>Home and/or gym use.</li>
<li>Ergonomic handles.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-UG02,0.0,,deny,manual,16.00,16.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug02-bk-0.jpg?v=1719332913,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug02-bk-0.jpg?v=1719332913,kg,,,true,,,true,,,true,,,active
zing-jump-rope,Zing Jump Rope,"<p>One of the world's simplest and most portable exercise devices, a jump rope enables endless variations and fitness output. The Zing Jump Rope goes anywhere and can be used any time. It is adjustable in length and has contoured foam handles for a great grip.</p>
<ul>
<li> Contoured foam handles.
</li>
<li> Adjustable length.
</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-UG04,0.0,,deny,manual,12.00,12.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug04-bk-0.jpg?v=1719332911,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug04-bk-0.jpg?v=1719332911,kg,,,true,,,true,,,true,,,active
dual-handle-cardio-ball,Dual Handle Cardio Ball,"<p>Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.</p>
<ul>
<li>Durable plastic shell with sand fill.
</li>
<li>Two handles.
</li>
<li>15 lbs.
</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-UG07,0.0,,deny,manual,12.00,12.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug07-bk-0_alt1.jpg?v=1719332908,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug07-bk-0.jpg?v=1719332908,kg,,,true,,,true,,,true,,,active
dual-handle-cardio-ball,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug07-bk-0.jpg?v=1719332908,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
affirm-water-bottle,Affirm Water Bottle,"<p>You'll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you're drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.</p>
<ul>
<li>Made of plastic.</li>
<li>Grooved sides for an easy grip.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-UG06,0.0,,deny,manual,7.00,7.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug06-lb-0.jpg?v=1719332905,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ug06-lb-0.jpg?v=1719332905,kg,,,true,,,true,,,true,,,active
push-it-messenger-bag,Push It Messenger Bag,"<p>The name says so, but the Push It Messenger Bag is much more than a busy commuter's tote. It's a closet away from home when you're pedaling from class or work to gym and back or home again. It's the perfect size and shape for laptop, folded clothes, even extra shoes.</p>
<ul>
<li>Adjustable crossbody strap.</li>
<li>Top handle.</li>
<li>Zippered interior pocket.</li>
<li>Secure clip closures.</li>
<li>Durable fabric construction.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WB04,0.0,,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb04-blue-0.jpg?v=1719332902,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb04-blue-0.jpg?v=1719332902,kg,,,true,,,true,,,true,,,active
overnight-duffle,Overnight Duffle,"<p>For long weekends away, camping outings and business trips, the Overnight Duffle can't be beat. The dual handles make it a cinch to carry, while the durable waterproof exterior helps you worry less about the weather. With multiple organizational pockets inside and out, it's the perfect travel companion.</p>
<ul>
<li>Dual top handles.</li>
<li>W 15"" x H 15"" x D 9"".</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WB07,0.0,,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb07-brown-0.jpg?v=1719332899,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb07-brown-0.jpg?v=1719332899,kg,,,true,,,true,,,true,,,active
driven-backpack,Driven Backpack,"<p>School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it's outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.</p>
<ul>
<li>Large main and small zip compartments.</li>
<li>Adjustable, padded straps.</li>
<li>Interior foam pockets.</li>
<li>Exterior zip compartment.</li>
<li>Left sport bottle pocket.</li>
<li>Survival gear sold separately.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WB03,0.0,,deny,manual,36.00,36.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb03-purple-0.jpg?v=1719332896,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb03-purple-0.jpg?v=1719332896,kg,,,true,,,true,,,true,,,active
endeavor-daytrip-backpack,Endeavor Daytrip Backpack,"<p>With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day's worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.</p>
<ul>
<li>Foam-padded adjustable shoulder straps.</li>
<li>900D polyester.</li>
<li>Oversized zippers.</li>
<li>Locker loop.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WB06,0.0,,deny,manual,33.00,33.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb06-red-0_alt1.jpg?v=1719332894,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb06-red-0.jpg?v=1719332894,kg,,,true,,,true,,,true,,,active
endeavor-daytrip-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb06-red-0.jpg?v=1719332894,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
